brand,name,price,link
Samsung ,"Galaxy J7 Neo - 5.5"" - 16GB - 2 GB RAM - 13MP Camera - Dual SIM - 4G LTE - Black","10,476",https://www.jumia.co.ke/galaxy-j7-neo-5.5-16gb-2-gb-ram-13mp-camera-dual-sim-4g-lte-black-samsung-mpg25298.html
,,,
Apple ,iPhone XS Max 256GB -Space Gray -Dual SIM (nano-SIM + Esim),"200,000",https://www.jumia.co.ke/apple-iphone-xs-max-256gb-space-gray-dual-sim-nano-sim-esim-10763669.html
Apple ,"Refurbished iPhone 6 4.7"" (2GB,16GB) Gold","16,990",https://www.jumia.co.ke/apple-refurbished-iphone64.7-2gb16gb-gold-12982935.html
TECNO ,"Spark 3 Pro, (32+2GB) 4G, Black + Free Phone Stand","12,499",https://www.jumia.co.ke/tecno-spark-3-pro-322gb-4g-black-free-phone-stand-15143495.html
Gtel ,"A703 VIVO  - 4.0"" - 4GB - 512MB RAM (Dual SIM) - Blue","4,000",https://www.jumia.co.ke/gtel-a703-vivo-4.0-4gb-512mb-ram-dual-sim-blue-16331269.html
Huawei ,"Honor 7A, 2GB + 16GB (Dual SIM), Blue","10,999",https://www.jumia.co.ke/honor-7a-2gb-16gb-dual-sim-blue-huawei-mpg113974.html
,,,
Infinix ,"Hot 7-  (32+2GB),Dual SIM - Black + Free OTG Cable","11,799",https://www.jumia.co.ke/infinix-hot-7-322gbdual-sim-black-free-otg-cable-17143375.html
X-AGE ,"105X- (Dual SIM), Black/Blue",949,https://www.jumia.co.ke/105x-dual-sim-blackblue-x-age-mpg154801.html
Infinix ,"HOT 7 - 32GB - 2GB, 6.2"", 13MP, 4000mAh, Dual SIM - Black + Free Data Cable","11,699",https://www.jumia.co.ke/infinix-hot-7-32gb-2gb-6.2-13mp-4000mah-dual-sim-black-free-data-cable-17154500.html
Samsung ,"Galaxy A30 - 64GB+4GB Ram, 4000mAh, Dual SIM 4G - Black","19,598",https://www.jumia.co.ke/galaxy-a30-64gb4gb-ram-4000mah-dual-sim-4g-black-samsung-mpg151474.html
TECNO ,"Pouvoir 2 LA7-16GB + 3GB, 4G, 5000mAh battery, Black","13,299",https://www.jumia.co.ke/pouvoir-2-la7-16gb-3gb-4g-5000mah-battery-black-tecno-mpg134049.html
,,,
Sony ,"Xperia Z5 Dual, 5.2"", 32GB+3GB (Dual SIM), Graphite Black ","13,599",https://www.jumia.co.ke/xperia-z5-dual-5.2-32gb-3gb-ram-23-mp-camera-dual-sim-black-sony-mpg3314.html
X-TIGI ,"V8 - 4.0"" - 8GB+1GB - 2000mAh- Android 8.1- Dual SIM- Black","3,999",https://www.jumia.co.ke/x-tigi-v8-4.0-8gb1gb-2000mah-android-8.1-dual-sim-black-14173365.html
Ulefone ,"S1 - 5.5"" - 8GB - 1GB RAM - (8MP+5MP) Dual Camera, 3G (Dual SIM), Gold","5,499",https://www.jumia.co.ke/ulefone-s1-5.5-8gb-1gb-ram-8mp5mp-dual-camera-3g-dual-sim-gold-14438509.html
Apple ,"iPhone Xs Max, 256GB + 4GB (Dual SIM), Space Grey","155,000",https://www.jumia.co.ke/iphone-xs-max-256gb-4gb-dual-sim-space-grey-apple-mpg128174.html
Huawei ,"Y6 Prime (2019), 6.0"", 32GB + 2GB (Dual SIM), Amber Brown","13,298",https://www.jumia.co.ke/y6-prime-2019-6.0-32gb-2gb-dual-sim-brown-huawei-mpg151844.html
,,,
VSUN ,Mars Note - 5.5'- 16GB- 1GB RAM -4G LTE Dual  SIM  - Grey,"5,499",https://www.jumia.co.ke/vsun-mars-note-5.5-16gb-1gb-ram-4g-lte-dual-sim-grey-9981060.html
X-TIGI ,"Q7 Feature Phone- 2.4"" Full Metal- Ultra Thin- Dual SIM- Black","2,299",https://www.jumia.co.ke/q7-feature-phone-2.4-full-metal-ultra-thin-dual-sim-black-x-tigi-mpg132008.html
Homtom ,"HT 16, 1GB RAM + 8GB ROM (Dual SIM), Black","4,799",https://www.jumia.co.ke/homtom-ht-16-1gb-ram-8gb-rom-dual-sim-black-10933521.html
Samsung ,"Galaxy A2 Core, 5.0"", 16GB + 1GB (Dual SIM), Dark Grey.","7,490",https://www.jumia.co.ke/galaxy-a2-core-5.0-16gb-1gb-dual-sim-dark-grey.-samsung-mpg162810.html
Itel ,"2171 Wireless FM, Torch, Dual SIM Feature Phone - Black","1,049",https://www.jumia.co.ke/2171-wireless-fm-torch-dual-sim-feature-phone-black-itel-mpg148971.html
,,,
Xiaomi ,"Redmi 6 - 5.45"" 4G 64GB + 4GB RAM  Fingerprint Sensor - 12+5 MP Rear Camera - Black","15,273",https://www.jumia.co.ke/redmi-6-4g-smartphone-android-8.1-helio-p22-octa-core-3gb-ram-32gb-rom-finger-print-sensor-125mp-dual-rear-camera-black-xiaomi-mpg118806.html
Gionee ,S10 Phone LITE 4GB+32GB ROM Snapdragon 427 1.4GHz Quad Core 13MP+16MP 3100mAh LTE 4G Smartphone,"8,879",https://www.jumia.co.ke/gionee-s10-phone-lite-4gb32gb-rom-snapdragon-427-1.4ghz-quad-core-13mp16mp-3100mah-lte-4g-smartphone-15086672.html
X-TIGI ,S23 Mini - Big Torch - Big Speaker - 2050mAh - Green,"1,349",https://www.jumia.co.ke/x-tigi-s23-mini-big-torch-big-speaker-2050mah-green-15954947.html
Xiaomi ,"Mi A2 Lite - 5.84"" - 4G - 32GB + 3GB (Dual SIM) - Gold","15,737",https://www.jumia.co.ke/xiaomi-mi-a2-lite-5.84-4g-32gb-3gb-dual-sim-gold-11498618.html
TECNO ,"Spark 3 Pro, 6.2"", 32GB + 2GB (Dual SIM), - Black + Free Data Cable","12,499",https://www.jumia.co.ke/spark-3-pro-6.2-32gb-2gb-dual-sim-black-free-data-cable-tecno-mpg163019.html
,,,
Gionee ,"M6 Mini 5.45"" 16GB, 1GB RAM, 8MP Camera, Android 8.1 - Black","7,299",https://www.jumia.co.ke/m6-mini-5.45-16gb-rom1gb-ram8mp-camerafingerprint-4000mah-battery-android-8.1-gionee-mpg163868.html
Infinix ,"infinix HOT 7, smartphone  - 16GB - 1GB, 6.2"", - Black","10,700",https://www.jumia.co.ke/infinix-hot-7-smartphone-16gb-1gb-6.2-black-infinix-mpg152475.html
Oukitel ,"C10, 5"", 8GB + 1GB RAM (Dual SIM) Gold.","4,199",https://www.jumia.co.ke/oukitel-c10-5-8gb-1gb-ram-dual-sim-gold.-14814089.html
Huawei ,"Y7 Prime (2018), 5.99"" - 3GB + 32GB (Dual SIM), Black","15,599",https://www.jumia.co.ke/y7-prime-2018-5.99-3gb-ram-32gb-rom-camera-13-mp-dual-sim-black-huawei-mpg149378.html
Huawei ,"P30 Lite, 6.15"", 128GB + 4GB (Dual SIM), Pearl White","28,999",https://www.jumia.co.ke/p30-lite-6.15-128gb-4gb-dual-sim-pearl-white-huawei-mpg162415.html
,,,
Infinix ,"HOT 7 - 32GB - 2GB, 6.2"", -GOLD +FREE 3D GLASS & BACK COVER","11,995",https://www.jumia.co.ke/infinix-hot-7-32gb-2gb-6.2-gold-free-3d-glass-back-cover-16788030.html
Homtom ,"S16, 5.5"", 16GB, 2GB RAM,13MP Camera, Black","6,699",https://www.jumia.co.ke/homtom-s16-5.5-16gb-2gb-ram13mp-camera-black-11014920.html
Generic ,Nokia 3310 Dual Sim Card Dual Standby Mobile Phone Straight Button Elderly Spare Mobile Phone,"4,470",https://www.jumia.co.ke/generic-nokia-3310-dual-sim-card-dual-standby-mobile-phone-straight-button-elderly-spare-mobile-phone-14598796.html
X-TIGI ,"Q7 Feature Phone- 2.4"" Full Metal- Ultra Thin- Dual SIM- Blue","2,299",https://www.jumia.co.ke/q7-feature-phone-2.4-full-metal-ultra-thin-dual-sim-blue-x-tigi-mpg163164.html
